dataset,index,order,depth,method,run,time_seconds
AdultCensusLocalXAI,SII,2,4,fourier,5,0.013946750026661903
AdultCensusLocalXAI,SII,2,4,interventional,1,0.00024033297086134553
AdultCensusLocalXAI,SII,2,4,interventional,2,0.00021762499818578362
AdultCensusLocalXAI,SII,2,4,interventional,3,0.00021991698304191232
AdultCensusLocalXAI,SII,2,4,interventional,4,0.0002612090320326388
AdultCensusLocalXAI,SII,2,4,interventional,5,0.00024270801804959774
AdultCensusLocalXAI,SII,2,5,fourier,1,0.0539853330119513
AdultCensusLocalXAI,SII,2,5,fourier,2,0.05173820798518136
AdultCensusLocalXAI,SII,2,5,fourier,3,0.052032750041689724
AdultCensusLocalXAI,SII,2,5,fourier,4,0.050859374983701855
AdultCensusLocalXAI,SII,2,5,fourier,5,0.05340829200576991
AdultCensusLocalXAI,SII,2,5,interventional,1,0.00031812500674277544
AdultCensusLocalXAI,SII,2,5,interventional,2,0.00028674997156485915
AdultCensusLocalXAI,SII,2,5,interventional,3,0.0002594170509837568
AdultCensusLocalXAI,SII,2,5,interventional,4,0.0002572920056991279
AdultCensusLocalXAI,SII,2,5,interventional,5,0.00025841599563136697
AdultCensusLocalXAI,SII,2,6,fourier,1,0.18293308396823704
AdultCensusLocalXAI,SII,2,6,fourier,2,0.18479629198554903
AdultCensusLocalXAI,SII,2,6,fourier,3,0.18667366600129753
AdultCensusLocalXAI,SII,2,6,fourier,4,0.18959912500577047
AdultCensusLocalXAI,SII,2,6,fourier,5,0.18284475000109524
AdultCensusLocalXAI,SII,2,6,interventional,1,0.00038470799336209893
AdultCensusLocalXAI,SII,2,6,interventional,2,0.00029083300614729524
AdultCensusLocalXAI,SII,2,6,interventional,3,0.00034600001526996493
AdultCensusLocalXAI,SII,2,6,interventional,4,0.000299000006634742
AdultCensusLocalXAI,SII,2,6,interventional,5,0.00029312504921108484
AdultCensusLocalXAI,SII,2,7,fourier,1,0.5801432500011288
AdultCensusLocalXAI,SII,2,7,fourier,2,0.578714500006754
AdultCensusLocalXAI,SII,2,7,fourier,3,0.5759074590168893
AdultCensusLocalXAI,SII,2,7,fourier,4,0.5664574159891345
AdultCensusLocalXAI,SII,2,7,fourier,5,0.5734427499701269
AdultCensusLocalXAI,SII,2,7,interventional,1,0.0007355419802479446
AdultCensusLocalXAI,SII,2,7,interventional,2,0.00043508398812264204
AdultCensusLocalXAI,SII,2,7,interventional,3,0.00046549999387934804
AdultCensusLocalXAI,SII,2,7,interventional,4,0.00044124998385086656
AdultCensusLocalXAI,SII,2,7,interventional,5,0.00044116697972640395
AdultCensusLocalXAI,SII,2,8,fourier,1,1.5301694159861654
AdultCensusLocalXAI,SII,2,8,fourier,2,1.4595224999939092
AdultCensusLocalXAI,SII,2,8,fourier,3,1.416329958010465
AdultCensusLocalXAI,SII,2,8,fourier,4,1.4295320000383072
AdultCensusLocalXAI,SII,2,8,fourier,5,1.4241434170398861
AdultCensusLocalXAI,SII,2,8,interventional,1,0.0008822079980745912
AdultCensusLocalXAI,SII,2,8,interventional,2,0.0006929159862920642
AdultCensusLocalXAI,SII,2,8,interventional,3,0.000666750012896955
AdultCensusLocalXAI,SII,2,8,interventional,4,0.0006865829927846789
AdultCensusLocalXAI,SII,2,8,interventional,5,0.0007914580055512488
AdultCensusLocalXAI,SII,3,3,fourier,1,0.0037432080134749413
AdultCensusLocalXAI,SII,3,3,fourier,2,0.0036537920241244137
AdultCensusLocalXAI,SII,3,3,fourier,3,0.003627415979281068
AdultCensusLocalXAI,SII,3,3,fourier,4,0.004242792027071118
AdultCensusLocalXAI,SII,3,3,fourier,5,0.0040524579817429185
AdultCensusLocalXAI,SII,3,3,interventional,1,0.0004159579984843731
AdultCensusLocalXAI,SII,3,3,interventional,2,0.0004160410026088357
AdultCensusLocalXAI,SII,3,3,interventional,3,0.0003792499774135649
AdultCensusLocalXAI,SII,3,3,interventional,4,0.0003682919777929783
AdultCensusLocalXAI,SII,3,3,interventional,5,0.00036816700594499707
AdultCensusLocalXAI,SII,3,4,fourier,1,0.014909791992977262
AdultCensusLocalXAI,SII,3,4,fourier,2,0.01379562501097098
AdultCensusLocalXAI,SII,3,4,fourier,3,0.013988999999128282
AdultCensusLocalXAI,SII,3,4,fourier,4,0.014207125001121312
AdultCensusLocalXAI,SII,3,4,fourier,5,0.014903582981787622
AdultCensusLocalXAI,SII,3,4,interventional,1,0.0006436249823309481
AdultCensusLocalXAI,SII,3,4,interventional,2,0.0005999159766361117
AdultCensusLocalXAI,SII,3,4,interventional,3,0.0005517500103451312
AdultCensusLocalXAI,SII,3,4,interventional,4,0.0005932500353083014
AdultCensusLocalXAI,SII,3,4,interventional,5,0.0006205420359037817
AdultCensusLocalXAI,SII,3,5,fourier,1,0.054437374987173826
AdultCensusLocalXAI,SII,3,5,fourier,2,0.05442291696090251
AdultCensusLocalXAI,SII,3,5,fourier,3,0.05201800004579127
AdultCensusLocalXAI,SII,3,5,fourier,4,0.05546712502837181
AdultCensusLocalXAI,SII,3,5,fourier,5,0.05545962502947077
AdultCensusLocalXAI,SII,3,5,interventional,1,0.0007897079922258854
AdultCensusLocalXAI,SII,3,5,interventional,2,0.0005713329883292317
AdultCensusLocalXAI,SII,3,5,interventional,3,0.0005582079757004976
AdultCensusLocalXAI,SII,3,5,interventional,4,0.0005843330291099846
AdultCensusLocalXAI,SII,3,5,interventional,5,0.0006260420195758343
AdultCensusLocalXAI,SII,3,6,fourier,1,0.18705537501955405
AdultCensusLocalXAI,SII,3,6,fourier,2,0.20184758299728855
AdultCensusLocalXAI,SII,3,6,fourier,3,0.19975720799993724
AdultCensusLocalXAI,SII,3,6,fourier,4,0.19806733395671472
AdultCensusLocalXAI,SII,3,6,fourier,5,0.1951062500011176
AdultCensusLocalXAI,SII,3,6,interventional,1,0.0016700829728506505
AdultCensusLocalXAI,SII,3,6,interventional,2,0.001503957959357649
AdultCensusLocalXAI,SII,3,6,interventional,3,0.0011064999853260815
AdultCensusLocalXAI,SII,3,6,interventional,4,0.002142624987754971
AdultCensusLocalXAI,SII,3,6,interventional,5,0.0019975840114057064
AdultCensusLocalXAI,SII,3,7,fourier,1,0.5939402079675347
AdultCensusLocalXAI,SII,3,7,fourier,2,0.5812447089701891
AdultCensusLocalXAI,SII,3,7,fourier,3,0.5816037919721566
AdultCensusLocalXAI,SII,3,7,fourier,4,0.5951257920241915
AdultCensusLocalXAI,SII,3,7,fourier,5,0.6493411669507623
AdultCensusLocalXAI,SII,3,7,interventional,1,0.000982375000603497
AdultCensusLocalXAI,SII,3,7,interventional,2,0.0008687920053489506
AdultCensusLocalXAI,SII,3,7,interventional,3,0.0008551250211894512
AdultCensusLocalXAI,SII,3,7,interventional,4,0.0008213749970309436
AdultCensusLocalXAI,SII,3,7,interventional,5,0.0008007080177776515
AdultCensusLocalXAI,SII,3,8,fourier,1,1.496445875032805
AdultCensusLocalXAI,SII,3,8,fourier,2,1.5518425000482239
AdultCensusLocalXAI,SII,3,8,fourier,3,1.4892168340156786
AdultCensusLocalXAI,SII,3,8,fourier,4,1.5492776249884628
AdultCensusLocalXAI,SII,3,8,fourier,5,1.507318708987441
AdultCensusLocalXAI,SII,3,8,interventional,1,0.0017372500151395798
AdultCensusLocalXAI,SII,3,8,interventional,2,0.0013112910091876984
AdultCensusLocalXAI,SII,3,8,interventional,3,0.001250208995770663
AdultCensusLocalXAI,SII,3,8,interventional,4,0.0012682919623330235
AdultCensusLocalXAI,SII,3,8,interventional,5,0.0013082920340821147
AdultCensusLocalXAI,BII,1,1,fourier,1,0.00027729099383577704
AdultCensusLocalXAI,BII,1,1,fourier,2,0.00033962499583140016
AdultCensusLocalXAI,BII,1,1,fourier,3,0.00030100002186372876
AdultCensusLocalXAI,BII,1,1,fourier,4,0.0002300000051036477
AdultCensusLocalXAI,BII,1,1,fourier,5,0.00030524999601766467
AdultCensusLocalXAI,BII,1,1,interventional,1,0.00018104101764038205
AdultCensusLocalXAI,BII,1,1,interventional,2,0.00014070799807086587
AdultCensusLocalXAI,BII,1,1,interventional,3,0.00015470804646611214
AdultCensusLocalXAI,BII,1,1,interventional,4,0.00015841599088162184
AdultCensusLocalXAI,BII,1,1,interventional,5,0.00013833300909027457
AdultCensusLocalXAI,BII,1,2,fourier,1,0.0007505409885197878
AdultCensusLocalXAI,BII,1,2,fourier,2,0.0005998329725116491
AdultCensusLocalXAI,BII,1,2,fourier,3,0.000676166033372283
AdultCensusLocalXAI,BII,1,2,fourier,4,0.000644667015876621
AdultCensusLocalXAI,BII,1,2,fourier,5,0.0005712499842047691
AdultCensusLocalXAI,BII,1,2,interventional,1,0.00017470796592533588
AdultCensusLocalXAI,BII,1,2,interventional,2,0.00015554198762401938
AdultCensusLocalXAI,BII,1,2,interventional,3,0.00013866700464859605
AdultCensusLocalXAI,BII,1,2,interventional,4,0.00015058397548273206
AdultCensusLocalXAI,BII,1,2,interventional,5,0.00014516699593514204
AdultCensusLocalXAI,BII,1,3,fourier,1,0.001690374978352338
AdultCensusLocalXAI,BII,1,3,fourier,2,0.001769582973793149
AdultCensusLocalXAI,BII,1,3,fourier,3,0.001641749986447394
AdultCensusLocalXAI,BII,1,3,fourier,4,0.0016676250379532576
AdultCensusLocalXAI,BII,1,3,fourier,5,0.001599457988049835
AdultCensusLocalXAI,BII,1,3,interventional,1,0.0001820409670472145
AdultCensusLocalXAI,BII,1,3,interventional,2,0.00014133297372609377
AdultCensusLocalXAI,BII,1,3,interventional,3,0.00016024999786168337
AdultCensusLocalXAI,BII,1,3,interventional,4,0.00013683404540643096
AdultCensusLocalXAI,BII,1,3,interventional,5,0.0001407089876011014
AdultCensusLocalXAI,BII,1,4,fourier,1,0.005034250032622367
AdultCensusLocalXAI,BII,1,4,fourier,2,0.004969124973285943
AdultCensusLocalXAI,BII,1,4,fourier,3,0.004861375025939196
AdultCensusLocalXAI,BII,1,4,fourier,4,0.004953416995704174
AdultCensusLocalXAI,BII,1,4,fourier,5,0.004684666986577213
AdultCensusLocalXAI,BII,1,4,interventional,1,0.0002174580004066229
AdultCensusLocalXAI,BII,1,4,interventional,2,0.0001776670105755329
AdultCensusLocalXAI,BII,1,4,interventional,3,0.00019154202891513705
AdultCensusLocalXAI,BII,1,4,interventional,4,0.00017187499906867743
AdultCensusLocalXAI,BII,1,4,interventional,5,0.00014779099728912115
